target	class
MRPL39	Transport
MRPL4	Translation
MRPL41	Translation
MRPL43	Translation
MRPL49	Translation
MRPL50	Transport
MRPL51	Translation
MRPL53	Transport
MRPL54	Transport
MRPL55	Translation
MRPS10	Transport
MRPS11	Translation
MRPS14	Translation
MRPS18A	Translation
MRPS2	Translation
MRPS21	Translation
MRPS22	Transport
MRPS23	Translation
MRPS24	Translation
MRPS26	Transport
MRPS27	Translation
MRPS28	Translation
MRPS34	Translation
MRPS35	Translation
MRPS7	Translation
MRPS9	Translation
MTBP	Cell_Cycle
MTOR	Transport
MTPAP	Transcription
MVD	Transport
MYBBP1A	Transcription
MYBL2	Transcription
MZT1	Cell_Cycle
N6AMT1	Other
NAA10	Other
NAA15	Development
NAA20	Protein_Folding
NAA25	Chromatin
NACA	Protein_Folding
NAE1	Other
NARS	Transport
NAT10	Transcription
NBAS	Transport
NCAPH	Chromatin
NCBP1	Transcription
NCBP2	Transcription
NCKAP1	Development
NCL	Transcription
NDC80	Chromatin
NDUFA2	Transcription
NDUFA6	Transport
NDUFA8	Transport
NDUFAB1	Transport
NDUFB10	Transport
NDUFB4	Transport
NDUFB8	Transport
NEDD1	Cell_Cycle
NEDD8	Protein_Degradation
NELFA	Transcription
NELFB	Transcription
NELFCD	Transcription
NELFE	Transcription
NEPRO	Translation
NFRKB	DNA_Repair
NFS1	Transport
NIFK	Transcription
NIP7	Translation
NKAP	Transcription
NLE1	Signal_Transduction
NMD3	Translation
NOB1	Transcription
NOC3L	Cell_Cycle
NOC4L	Transcription
NOL11	Transcription
NOL12	Translation
NOL6	Transcription
NOL8	Transcription
NOLC1	Other
NOM1	Translation
NOP10	Translation
NOP14	Transcription
NOP16	Translation
NOP2	Transcription
NOP58	Transcription
NPLOC4	Transport
NRBP1	Transport
NRDE2	Transcription
NRF1	Transcription
NSA2	Transcription
NSRP1	Transcription
NUBP1	Transport
NUDC	Transcription
NUDCD3	Chromatin
NUDT21	Transcription
NUF2	Transcription
NUFIP1	Other
NUMA1	DNA_Repair
NUP107	Transcription
NUP133	Development
NUP160	Transport
NUP54	Chromatin
NUP62	Transcription
NUP85	Chromatin
NUP88	Transcription
NUP98	Transcription
NUTF2	Chromatin
NVL	Translation
OGFOD1	Other
OGT	Other
OPA1	Transport
ORC1	Cell_Cycle
ORC5	Cell_Cycle
OXA1L	Transport
PABPN1	Transcription
PAF1	Transcription
PAM16	Protein_Folding
PAXBP1	Transcription
PCBP1	Transcription
PCF11	Transcription
PCID2	Transcription
PCNA	Cell_Cycle
PDAP1	Transport
PDCD11	Transcription
PDCD2	Other
PDCD7	Transcription
PDRG1	Protein_Folding
PELO	Transcription
PELP1	Transcription
PES1	Transcription
PET117	Other
PFDN2	Protein_Folding
PFN1	Transport
PGAM1	Cell_Cycle
PGD	Transport
PGPEP1	Transport
PHAX	Transcription
PHB	Protein_Folding
PHB2	Protein_Folding
PHF5A	Transcription
PIAS4	Transcription
PKM	Transport
PLRG1	Transcription
PMF1	Chromatin
PMPCA	Transport
PMPCB	Transport
PNISR	Cell_Cycle
PNN	Transcription
PNO1	Translation
PNPT1	Transcription
POLA1	Cell_Cycle
POLA2	Cell_Cycle
POLD1	Cell_Cycle
POLD2	Cell_Cycle
POLD3	Cell_Cycle
POLE	Cell_Cycle
POLR1A	Transcription
POLR1B	Translation
POLR1C	Transcription
POLR1E	Transcription
POLR2A	Transcription
POLR2B	Transcription
POLR2C	Transcription
POLR2D	Transcription
POLR2E	Transcription
POLR2F	Transcription
POLR2G	Transcription
POLR2H	Transcription
POLR2I	Transcription
POLR2L	Transcription
POLR3B	Immune_Response
POLR3C	Immune_Response
POLR3D	Immune_Response
POLR3E	Immune_Response
POLR3F	Immune_Response
POLRMT	Transcription
POP1	Transcription
POP4	Transcription
POP5	Transcription
POP7	Transcription
PPAN	Transcription
PPARGC1B	Transcription
PPIE	Transcription
PPIH	Transcription
PPIL4	Transcription
PPP1CA	Other
PPP1R11	Protein_Degradation
PPP1R8	Transcription
PPP2R1A	Other
PPP4C	Protein_Folding
PPP4R2	Protein_Folding
PPRC1	Transcription
PRELID1	Transport
PRELID3B	Transport
PRIM1	Cell_Cycle
PRIM2	Cell_Cycle
PRMT1	Other
PRMT5	Other
PRPF18	Transcription
PRPF19	Transcription
PRPF3	Transcription
PRPF31	Transcription
PRPF4	Transcription
PRPF40A	Transcription
PRPF4B	Other
PRPF6	Transcription
PRPF8	Transcription
PRRC2A	Other
PSMA1	Protein_Degradation
PSMA2	Protein_Degradation
PSMA3	Protein_Degradation
PSMA4	Protein_Degradation
PSMA6	Protein_Degradation
PSMA7	Protein_Degradation
PSMB1	Metabolism
PSMB2	Metabolism
PSMB3	Protein_Degradation
PSMB5	Protein_Degradation
PSMB6	Protein_Degradation
PSMB7	Protein_Degradation
PSMC1	Protein_Degradation
PSMC2	Protein_Degradation
PSMC3	Protein_Degradation
PSMC4	Protein_Degradation
PSMC6	Protein_Degradation
PSMD1	Protein_Degradation
PSMD11	Protein_Degradation
PSMD12	Protein_Degradation
PSMD13	Protein_Degradation
PSMD2	Protein_Degradation
PSMD3	Protein_Degradation
PSMD4	Protein_Degradation
PSMD6	Protein_Degradation
PSMD7	Protein_Degradation
PSMG3	Protein_Degradation
PSMG4	Translation
PTBP1	Transcription
PTCD1	Transcription
PUF60	Transcription
PWP2	Translation
QARS	Transport
RABGGTA	Other
RACGAP1	Chromatin
RAD21	Development
RAD51	Cell_Cycle
RAD51C	Cell_Cycle
RAE1	Transcription
RAN	Signal_Transduction
RANGAP1	Transcription
RARS	Transport
RARS2	Transcription
RBBP4	Transcription
RBBP6	Protein_Degradation
RBBP8	Cell_Cycle
RBM14	Cell_Cycle
RBM17	Transcription
RBM19	Development
RBM25	Transcription
RBM28	Transcription
RBM39	Transcription
RBM4	Transcription
RBM42	Transcription
RBM48	Transcription
RBM8A	Transcription
RBMX	Transcription
RBMX2	Transcription
RBX1	Protein_Degradation
RCC1	Other
RCL1	Transcription
REXO2	Metabolism
RFC1	Transcription
RFC2	Cell_Cycle
RFC3	Cell_Cycle
RFC4	Cell_Cycle
RFC5	Cell_Cycle
RINT1	Transport
RIOK1	Transcription
RIOK2	Translation
RMI1	Chromatin
RNASEH2C	Transcription
RNF113A	Transcription
RNF20	Protein_Degradation
RNF40	Protein_Degradation
RNGTT	Transcription
RNMT	Transcription
RNPC3	Transcription
RNPS1	Transcription
ROMO1	Transport
RPA1	Cell_Cycle
RPA2	Cell_Cycle
RPA3	Cell_Cycle
RPAP1	Development
RPAP2	Transcription
RPF1	Transcription
RPF2	Translation
RPL10	Translation
RPL10A	Translation
RPL11	Translation
RPL12	Translation
RPL13	Translation
RPL13A	Translation
RPL14	Translation
RPL15	Translation
RPL17	Translation
RPL18	Translation
RPL18A	Translation
RPL19	Translation
RPL21	Translation
RPL23	Translation
RPL23A	Translation
RPL24	Translation
RPL26	Translation
RPL27	Translation
RPL27A	Translation
RPL30	Translation
RPL31	Translation
RPL32	Translation
RPL34	Translation
RPL35	Translation
RPL35A	Translation
RPL36	Translation
RPL36A	Translation
RPL37	Translation
RPL37A	Translation
RPL38	Translation
RPL39	Translation
RPL4	Translation
RPL5	Translation
RPL6	Translation
RPL7	Translation
RPL7L1	Transcription
RPL8	Translation
RPL9	Translation
RPLP0	Translation
RPLP1	Translation
RPLP2	Translation
RPP14	Transcription
RPP30	Transcription
RPP38	Transcription
RPP40	Transcription
RPS10	Translation
RPS10-NUDT3	Translation
RPS11	Translation
RPS12	Translation
RPS13	Translation
RPS14	Translation
RPS15	Translation
RPS15A	Translation
RPS16	Translation
RPS17	Translation
RPS18	Translation
RPS19	Translation
RPS19BP1	Translation
RPS2	Translation
RPS20	Translation
RPS21	Translation
RPS23	Translation
RPS24	Translation
RPS26	Translation
RPS27	Translation
RPS27A	Translation
RPS28	Translation
RPS29	Translation
RPS3	Translation
RPS3A	Translation
RPS4X	Translation
RPS5	Translation
RPS6	Translation
RPS7	Translation
RPS9	Translation
RPSA	Translation
RPTOR	Signal_Transduction
RPUSD4	Transcription
RRM1	Cell_Cycle
RRN3	Transcription
RRP1	Translation
RRP12	Translation
RRP7A	Translation
RRP9	Transcription
RRS1	Translation
RSL1D1	Translation
RSL24D1	Translation
RTCB	Transcription
RTF1	Chromatin
RUVBL1	Transcription
SAE1	Chromatin
SAMM50	Transport
SAP130	Transcription
SAP18	Transcription
SARS	Transport
SARS2	Transcription
SART1	Transcription
SART3	Transcription
SBNO1	Signal_Transduction
SCAF1	Transcription
SCFD1	Transport
SDAD1	Translation
SDC1	Development
SDE2	Transcription
SDHC	Other
SEC13	Transport
SEC61A1	Translation
SEC61G	Transport
SEH1L	Transport
SEM1	Protein_Degradation
SERBP1	Translation
SETD1A	Chromatin
SETDB1	Chromatin
SF1	Transcription
SF3A1	Transcription
SF3A2	Transcription
SF3B2	Transcription
SF3B3	Transcription
SF3B4	Transcription
SF3B5	Transcription
SFPQ	Transcription
SFSWAP	Transcription
SIN3A	Other
SKA3	Signal_Transduction
SKP1	Protein_Degradation
SLBP	Transcription
SLC39A9	Transport
SLC7A5	Transport
SLC7A6OS	Development
SLU7	Transcription
SMARCB1	Transcription
SMC1A	Development
SMC2	Chromatin
SMC3	Development
SMC4	Chromatin
SMG5	Transcription
SMN2	Transcription
SMU1	Transcription
SNAPC1	Transcription
SNAPC2	Transcription
SNAPC3	Transcription
SNAPC5	Transcription
SNIP1	Transcription
SNRNP200	Transcription
SNRNP25	Transcription
SNRNP27	Transcription
SNRNP35	Transcription
SNRNP48	Transcription
SNRNP70	Transcription
SNRPA1	Transcription
SNRPB	Transcription
SNRPC	Transcription
SNRPD1	Transcription
SNRPD3	Transcription
SNRPE	Transcription
SNRPF	Transcription
SNRPG	Transcription
SNW1	Transcription
SON	Transcription
SPC24	Chromatin
SPC25	Chromatin
SPCS3	Signal_Transduction
SRBD1	Metabolism
SRFBP1	Translation
SRP54	Translation
SRP68	Translation
SRP72	Translation
SRPRB	Translation
SRRM1	Transcription
SRRM2	Transcription
SRRT	Transcription
SRSF1	Transcription
SRSF10	Transcription
SRSF11	Transcription
SRSF2	Transcription
SRSF3	Transcription
SRSF7	Transcription
SS18L2	Cell_Cycle
SSBP1	Cell_Cycle
SSRP1	Chromatin
SSU72	Transcription
STARD7	Other
STRAP	Transcription
SUGP1	Transcription
SUGT1	Signal_Transduction
SUPT16H	Transcription
SUPT4H1	Transcription
SUPT5H	Transcription
SUPT6H	Transcription
SUPV3L1	Transcription
SURF6	Translation
SYF2	Transcription
SYMPK	Chromatin
TADA3	Transcription
TAF1	Transcription
TAF10	Transcription
TAF12	Transcription
TAF1C	Transcription
TAF1D	Translation
TAF2	Transcription
TAF5	Transcription
TAF6	Transcription
TAF7	Transcription
TAF8	Transcription
TANGO6	Development
TARS	Transport
TBCB	Protein_Folding
TBL3	Transcription
TBP	Transcription
TCERG1	Transcription
TCOF1	Development
TCP1	Protein_Folding
TEFM	Transcription
TELO2	DNA_Repair
TERF2	Transcription
TEX10	Translation
TFDP1	Transcription
TFIP11	Other
THAP1	Transcription
THAP11	Transcription
THG1L	Transcription
THOC1	Transcription
THOC2	Transcription
THOC3	Transcription
THOC5	Transcription
THOC6	Transcription
THOC7	Transcription
TICRR	Cell_Cycle
TIMM13	Transport
TIMM23B	Transport
TIMM44	Transport
TIMM9	Transport
TMA16	Translation
TMSB10	Other
TMX2	Development
TNPO3	Other
TOMM22	Transport
TOMM40	Transport
TOP1	Signal_Transduction
TPR	Signal_Transduction
TPX2	Chromatin
TRA2B	Transcription
TREX2	DNA_Repair
TRMT10C	Transcription
TRMT112	Transcription
TRMT5	Transcription
TRPM7	Transport
TRRAP	Transcription
TSEN2	Transcription
TSG101	Protein_Degradation
TSR1	Transcription
TSR2	Transcription
TTC27	Other
TTI1	DNA_Repair
TTK	Chromatin
TUBGCP2	Transcription
TUT1	Transcription
TWISTNB	Translation
TXN	Cell_Cycle
TXNL4A	Transcription
U2AF1	Transcription
U2AF2	Transcription
U2SURP	Transport
UBA1	Protein_Degradation
UBA2	Other
UBA3	Other
UBA52	Translation
UBAP1	Protein_Degradation
UBE2I	Chromatin
UBL5	Transcription
UBQLN4	Transcription
UFL1	Other
UFM1	Other
UPF1	Transcription
UPF2	Transcription
UQCC2	Protein_Degradation
UQCRB	Transport
UQCRC2	Transport
UQCRFS1	Transport
UQCRQ	Development
URB2	Translation
URI1	Development
USP36	Other
USP39	Transcription
USP5	Protein_Degradation
USPL1	Other
UTP15	Transcription
UTP18	Transcription
UTP20	Transcription
UTP23	Transcription
UTP3	Development
UTP6	Transcription
UXT	Development
VARS	Transport
VPS28	Protein_Degradation
VPS29	Transport
VPS35	Signal_Transduction
VPS54	Transport
VPS72	Transcription
WAC	Chromatin
WBP11	Transcription
WDHD1	Cell_Cycle
WDR12	Transcription
WDR24	Signal_Transduction
WDR3	Transcription
WDR33	Transport
WDR36	Transcription
WDR43	Transcription
WDR46	Transcription
WDR5	Transcription
WDR55	Transcription
WDR61	Other
WDR70	Transcription
WDR74	Translation
WDR75	Transcription
WDR82	Transcription
WDTC1	DNA_Repair
XAB2	Transcription
XPO1	Development
XRCC5	Translation
XRCC6	Translation
XRN2	Transcription
YEATS2	Transcription
YEATS4	Transcription
YTHDC1	Transcription
ZBTB17	Transcription
ZC3H18	Other
ZCCHC9	Translation
ZCRB1	Transcription
ZFC3H1	Other
ZMAT2	Transcription
ZMAT5	Transcription
ZNF207	Transcription
ZNF236	Transcription
ZNF335	Development
ZNF574	Transcription
ZNHIT6	Translation
ZNRD1	Translation
ctrl	Other
